age 	speakerID 	sex 	sentenceID 	stdevM              	varcoM              	rPVIm               	nPVIm               	stdevP              	varcoP              	rPVIp               	nPVIp
y   	       07 	m   	       107 	 4.067626935817705  	 7.210379826649897  	 4.811345041742754  	 8.426054294540636  	 2.995843055893363  	 4.2969017362439175 	 4.167207756589358  	 5.942646684289259
y   	       07 	m   	       115 	 6.732546170382126  	11.123476679694488  	 7.727476306582868  	12.680536568123573  	 4.920055127361236  	 7.162645208548249  	 4.8631845747593605 	 6.940019993034849
y   	       07 	m   	       116 	 3.196353337391479  	 5.185006727421659  	 3.7777067869992784 	 6.145529334832294  	 5.396835719543913  	 7.920139720348544  	 4.949382438999582  	 7.546197137247805
y   	       07 	m   	       121 	 6.036430705091945  	 9.47749089728025   	 4.527801058283541  	 7.124942130857712  	 4.957596461877811  	 7.041594114819458  	 5.2421031434557115 	 7.4535237603811355
y   	       07 	m   	       123 	 4.830327814366943  	 7.974836787003707  	 4.94003255574506   	 8.089298125998566  	 4.635703462763381  	 6.710996851251412  	 3.506957462804169  	 5.14420861889349
y   	       07 	m   	       124 	 4.987886601790216  	 7.79008433750371   	 6.8616988521337685 	10.660724350440418  	 4.465504426960073  	 6.188697070777274  	 5.145490620116463  	 7.177950064821602
y   	       07 	m   	       127 	 7.4344685325668936 	11.66328608457983   	 6.237130560374029  	 9.783040883372864  	 4.095037422817347  	 5.795616688969002  	 3.601144521690547  	 5.1080276978181365
y   	       07 	m   	       131 	 5.699841145057575  	 9.118594941418623  	 3.221418874882713  	 5.063782536501589  	 4.359041028879991  	 6.263802395293364  	 5.103173468226549  	 7.457089601373877
y   	       07 	m   	       165 	 5.789211187074144  	 9.306207378503457  	 6.598431811904983  	10.426092861401575  	 3.9880513621380485 	 5.7032181612766575 	 3.7525974026044775 	 5.427505973355905
y   	       07 	m   	       168 	 5.873400388779746  	 9.512083246071334  	 7.318490324921817  	11.987724762301433  	 4.075673149468642  	 5.934982875550087  	 3.5294560281396974 	 5.063898572256055
y   	       07 	m   	       169 	 5.5500348176219605 	 9.233297988119054  	 5.298827469986399  	 8.934893961306338  	 4.888456285096259  	 7.139503910419123  	 4.7484237031190375 	 6.867239208795035
y   	       07 	m   	       171 	 4.078421366464009  	 7.0538644607791205 	 3.914918708377786  	 6.919000179988544  	 5.695660327528295  	 8.787934485300866  	 4.263740438307946  	 6.664397227041699
y   	       07 	m   	       172 	 6.425682884127771  	10.93716774765342   	 6.247003601748454  	10.59971672108507   	 4.73130586068311   	 7.067331797945971  	 4.657160942067496  	 7.013734950412721
y   	       07 	m   	       173 	 5.227137537748056  	 9.02300247058461   	 5.486473434551103  	 9.423644579756404  	 3.8188438282677466 	 5.66600878522127   	 4.486740339860889  	 6.7703721530313885
y   	       07 	m   	       174 	 5.78198805028534   	 9.801687627719703  	 7.210231056746251  	12.314751132421256  	 5.026605049664834  	 7.354458710191538  	 4.188701096635315  	 6.074257727320553
y   	       07 	m   	       176 	 3.6739610124104813 	 6.121068597835911  	 2.7559275601836433 	 4.546232077922937  	 2.273009789070136  	 3.371932394155751  	 2.934465251232243  	 4.356696384513948
y   	       07 	m   	       178 	 3.55243872637826   	 6.007086046902412  	 2.8976188398929192 	 4.901668400520065  	 4.207066119717923  	 6.633802463392014  	 3.3540083688487536 	 5.320133391993168
y   	       07 	m   	       184 	 6.594124172358455  	11.602081206132718  	 7.486560759620085  	13.049759341416436  	 2.656239893174204  	 4.0069231158073615 	 2.971799372239472  	 4.4428574959139535
y   	       07 	m   	       190 	 5.216672614433577  	 8.322785175972367  	 7.632232708373756  	12.34001454456703   	 3.9427961268235263 	 5.543843846816203  	 3.947657081848676  	 5.47781609902184
y   	       07 	m   	       192 	 4.232226175794658  	 7.056532037178905  	 5.725020890507443  	 9.578050357675052  	 5.005788664180853  	 7.079653765411184  	 5.3710826486288195 	 7.643487032547876
y   	       07 	m   	       193 	 5.2502668830755415 	 8.848302148197336  	 5.05945918834138   	 8.442027742748586  	 5.7380325655057165 	 8.183466401519222  	 8.893531712618078  	12.71333103457791
y   	       07 	m   	       197 	 5.973020111988347  	10.169900915736058  	 6.432210678255927  	10.93536979859716   	 4.758449540408724  	 7.133063224915972  	 3.999728808469272  	 5.955949276029047
y   	       07 	m   	       199 	 5.3970902089188515 	 8.409228987762226  	 5.892232931352484  	 9.1751942693983    	 2.382054403820051  	 3.3213667804030584 	 3.1623357373745833 	 4.4154976726735224
y   	       07 	m   	       200 	 5.326525777940414  	 8.36271242766094   	 7.728986169767933  	12.180333288049445  	 4.767864987708803  	 6.659525274168811  	 5.083773749832462  	 7.143672069449221
y   	       07 	m   	       203 	 4.875752321980506  	 7.853892037653895  	 5.357513339478425  	 8.730283362767766  	 4.361374700007449  	 6.221936790039521  	 3.7067642391344116 	 5.469864058929997
y   	       07 	m   	       206 	 5.332674488174737  	 8.806895509632506  	 6.3241792893906394 	10.415746552746219  	 3.5767118515613996 	 5.068196266050196  	 4.906753484558306  	 6.922422974477961
y   	       07 	m   	       210 	 5.774368368521036  	 9.558843144074048  	 7.65307509669456   	12.805687826886984  	 3.615799260242648  	 5.262867879649232  	 4.057048269891985  	 5.872938255853418
y   	       10 	f   	       002 	 5.099898203385756  	 8.356558894286916  	 4.802623863668259  	 8.006824634657523  	 1.8007275885439964 	 2.6581702295519074 	 1.6341051624524994 	 2.4279871328594647
y   	       10 	f   	       005 	 4.1894267693179605 	 6.509332198001255  	 2.1231888274286153 	 3.2452942857903366 	 6.303393485146748  	 9.244818254394293  	 5.165575205670281  	 7.756806906527306
y   	       10 	f   	       016 	 5.147155257527579  	 8.383031141873143  	 6.212718790910924  	10.04562433149069   	 5.565607213179199  	 7.953803173140112  	 3.3233058470990002 	 4.87287267546248
y   	       10 	f   	       017 	 4.609558897271819  	 7.460308517860639  	 5.625452838446389  	 9.070361674329698  	 4.225396684935853  	 6.007274009683256  	 3.6734030464219103 	 5.291017884201495
y   	       10 	f   	       021 	 3.3804539638721014 	 5.116833784267014  	 4.851943996021606  	 7.416035848564178  	 5.088681046471873  	 6.961321759728852  	 3.0207786703203587 	 4.1840367208286535
y   	       10 	f   	       022 	 3.8536334105617196 	 5.8696096892050935 	 4.195659205158998  	 6.342465342033     	 4.044922829256831  	 5.632128820593295  	 2.314406487435015  	 3.2733683434704473
y   	       10 	f   	       023 	 5.84777519553233   	 8.905233830144082  	 8.736385767395214  	13.338415642006538  	 2.0267589071660543 	 2.71725477197278   	 2.470139346599961  	 3.292326636619104
y   	       10 	f   	       026 	 5.83909490041402   	 9.020564785466869  	 4.42495103597808   	 6.817439111432402  	 3.67017160764782   	 5.00730462690585   	 3.2784036529864387 	 4.512480763811612
y   	       10 	f   	       029 	 4.567147590722691  	 7.043846875519464  	 3.56953090742857   	 5.533981033193947  	 2.8801295579000112 	 4.03519292145369   	 1.5877649640609248 	 2.220398093157303
y   	       10 	f   	       030 	 5.086370617683158  	 7.766896750085875  	 4.672754186417881  	 7.174001301255856  	 3.508433741519926  	 4.76763873013011   	 2.5997243904443055 	 3.5004388014847088
y   	       10 	f   	       031 	 5.401128613883032  	 8.358515446280217  	 4.900915479733058  	 7.789755362914609  	 3.044172981770918  	 4.354188045947299  	 2.7744278441823695 	 3.92296325685519
y   	       10 	f   	       037 	 5.023789595188543  	 7.930563477114655  	 6.842602673541907  	10.95246030680151   	 6.213202516273775  	 8.945287453044907  	 6.056471371702522  	 9.055044833010589
y   	       10 	f   	       040 	 4.1616617746664994 	 6.47435797401718   	 5.331543247982309  	 8.428747376844154  	 2.574133861605597  	 3.5833109377709644 	 2.2051734453037235 	 3.08000688564179
y   	       10 	f   	       043 	 4.477595373303376  	 6.8138720919831925 	 5.329465287010634  	 8.060382534629847  	 3.343633104062472  	 4.708299381915179  	 2.8871568344757303 	 4.030823039027081
y   	       10 	f   	       044 	 2.5422458084217423 	 3.8319091165977994 	 3.8702143823914454 	 5.818782719302402  	 3.180359448585542  	 4.436622318079593  	 3.2506031105460167 	 4.485666752792381
y   	       10 	f   	       045 	 5.514054713395135  	 8.588231261576352  	 6.235111261561991  	 9.679645231524525  	 3.4887685760654503 	 4.733489089955366  	 2.573046101122569  	 3.426527707298982
y   	       10 	f   	       046 	 6.183851774559527  	 9.268593880763119  	 7.520627434049461  	11.423798702270417  	 3.5641726203666444 	 4.943931845185321  	 2.5517285849040054 	 3.5277589019327604
y   	       10 	f   	       051 	 6.762554153891273  	10.202319875382605  	 6.971616700305446  	10.589629340863535  	 7.326703791289363  	10.086870798475047  	 4.943568737358891  	 7.101113692414764
y   	       10 	f   	       052 	 5.137241145745864  	 7.662452360134686  	 3.5433573668231957 	 5.447419350208907  	 5.403763514686197  	 7.656444769587117  	 3.076428632867601  	 4.519788477630567
y   	       10 	f   	       053 	 3.4903954505663735 	 5.251134972878438  	 4.702390568836336  	 7.0567119814174255 	 3.859569141195455  	 5.493502645145913  	 4.542400107678787  	 6.6007021790952916
y   	       10 	f   	       058 	 4.911469081108303  	 7.773635007155606  	 5.622949980487121  	 9.007303575492077  	 5.428359538137865  	 7.570590458884867  	 5.222275050352692  	 7.5607353309206475
y   	       10 	f   	       070 	 3.61984153658015   	 5.360252024043799  	 2.717876578375501  	 4.037631912481794  	 3.416488640901973  	 4.778843647730438  	 2.430698618446627  	 3.4000604706812685
y   	       10 	f   	       072 	 4.112781233137383  	 6.449730311439545  	 4.237702446816074  	 6.786477362810886  	 4.52322137971794   	 6.197945960307803  	 4.341643818513834  	 5.823571696790093
y   	       10 	f   	       078 	 3.9205399829881222 	 5.89074702829359   	 3.0740298519182505 	 4.5300294566244235 	 4.472334114374688  	 6.166507570141603  	 3.733961087846542  	 5.20937702691983
y   	       10 	f   	       085 	 4.253829147440117  	 6.248043981172973  	 4.18028913519932   	 6.2372424850984    	 2.410104152468213  	 3.290006900667417  	 1.7462679036125037 	 2.3829121794273567
y   	       10 	f   	       088 	 6.5816727809906945 	10.21084040700271   	 8.956966818948779  	13.949268747832203  	 3.2660022863000675 	 4.541491782997436  	 2.764087990369566  	 3.853684425640776
y   	       10 	f   	       092 	 3.8384603429446025 	 5.908024400462301  	 4.311833679524848  	 6.672349437655425  	 3.0684845775776726 	 4.381799137408648  	 3.2918428382820983 	 4.661662247930972
y   	       10 	f   	       095 	 4.155908985677563  	 6.4125507902923    	 3.5551109742509297 	 5.502196957908813  	 2.6847123025295794 	 3.843977488176885  	 1.762230503610337  	 2.4724027752338604
y   	       10 	f   	       098 	 4.126164464624248  	 6.6298243394220995 	 6.041483880051924  	 9.62590647934162   	 3.8708356585173407 	 5.578980880484732  	 3.5705693061836725 	 5.084126565275982
y   	       10 	f   	       102 	 3.8412569857895584 	 6.05616607086905   	 5.0908174922304505 	 8.067612163282815  	 2.739543303675622  	 4.086606468145261  	 2.784072657191875  	 4.178717188642
y   	       10 	f   	       103 	 4.731927000305249  	 7.44717150363832   	 3.655049211571901  	 5.8968129758214545 	 4.4695865200716725 	 6.544916053764938  	 4.368598860953863  	 6.570905010851724
y   	       10 	f   	       104 	 4.603207617350065  	 7.41364884348562   	 4.726804186035179  	 7.498087569448293  	 5.204011089260595  	 7.596963816519249  	 5.347786227013939  	 7.8634465772932725
y   	       10 	f   	       105 	 4.919417382858551  	 7.607402327610176  	 3.4631614441248386 	 5.472809006048494  	 4.321838117254381  	 6.217084364564591  	 2.85787913923099   	 4.227002186211502
y   	       10 	f   	       107 	 4.152487143156652  	 6.7203698348611    	 5.289582267701684  	 8.583361682488043  	 5.4064035525209775 	 7.611140855796138  	 3.562423223079503  	 4.873090439324412
y   	       10 	f   	       115 	 5.408553680082533  	 8.949725104751733  	 6.326290576816655  	10.380775002322926  	 3.5022905206876462 	 5.0969684339399866 	 3.3254274642075305 	 4.907735376476752
y   	       10 	f   	       116 	 3.5496356827721156 	 5.487021897222143  	 4.196025795485727  	 6.589275489755553  	 6.4711388113284025 	 9.215869536712631  	 4.599606591853263  	 6.683425804843041
y   	       10 	f   	       121 	 4.155541483082882  	 6.43519603166802   	 3.752670245734588  	 5.764851079423145  	 3.4543466767970497 	 5.031357791533369  	 3.0680490864907863 	 4.5903552970678545
